"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2025-01-08 12:03:21";"Rési doigts";"43";"Pyramide échauffement doigts";"1";"40.0";"3";"";"";"";"";""
"1";"2025-01-08 12:03:21";"Rési doigts";"43";"Pyramide échauffement doigts";"2";"40.0";"5";"";"";"";"";""
"1";"2025-01-08 12:03:21";"Rési doigts";"43";"Rési Doigts";"1";"22.0";"3";"";"";"";"";""
"1";"2025-01-08 12:03:21";"Rési doigts";"43";"Rési Doigts";"2";"22.0";"3";"";"";"";"";""
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Pyramide échauffement doigts";"1";"40.0";"4";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Pyramide échauffement doigts";"2";"40.0";"5";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"1";"42.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"2";"42.0";"2";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"3";"40.0";"4";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"4";"40.0";"4";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"5";"40.0";"2";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"1";"42.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"2";"42.0";"4";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"3";"42.0";"5";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"4";"42.0";"4";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Crimp";"5";"42.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts 3 finger drag";"1";"32.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts 3 finger drag";"2";"32.0";"4";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts 3 finger drag";"3";"32.0";"4";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts 3 finger drag";"4";"32.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts 3 finger drag";"1";"32.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts 3 finger drag";"2";"32.0";"5";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts 3 finger drag";"3";"32.0";"5";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts 3 finger drag";"4";"32.0";"5";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Pinch";"1";"22.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Pinch";"2";"22.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Pinch";"3";"22.0";"2";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Pinch";"1";"22.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Pinch";"2";"22.0";"3";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Pinch";"3";"22.0";"2";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Sloper";"1";"15.0";"5";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Sloper";"2";"15.0";"5";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Sloper";"3";"15.0";"4";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Sloper";"1";"15.0";"5";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Sloper";"2";"15.0";"5";"";"";"";"";"Force Doigts"
"2";"2025-01-10 09:44:07";"Force Doigts";"5077";"Force Doigts Sloper";"3";"15.0";"5";"";"";"";"";"Force Doigts"
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Pull Up";"W";"20.0";"5";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Pull Up";"1";"25.0";"4";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Pull Up";"2";"25.0";"3";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Pull Up";"3";"25.0";"3";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Handstand Push Up";"Note";"";"";"";"";"";"Negative, 1 half positive ";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Handstand Push Up";"1";"0.0";"3";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Handstand Push Up";"2";"0.0";"3";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Handstand Push Up";"3";"0.0";"3";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Hanging Knee Raise";"1";"";"5";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Hanging Knee Raise";"2";"";"5";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Hanging Knee Raise";"3";"";"5";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Push Up";"Note";"";"";"";"";"";"One arm on chair";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Push Up";"1";"0.0";"5";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Push Up";"2";"0.0";"5";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Push Up";"3";"0.0";"5";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Chest Dip";"1";"0.0";"5";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Chest Dip";"2";"0.0";"3";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Chest Dip";"3";"0.0";"3";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Push-ups taps";"Note";"";"";"";"";"";"Less than middle ";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Push-ups taps";"1";"0.0";"5";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Push-ups taps";"2";"0.0";"4";"";"";"";"";""
"3";"2025-01-10 11:11:33";"Muscu";"3712";"Push-ups taps";"3";"0.0";"4";"";"";"";"";""
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Pyramide échauffement doigts";"1";"40.0";"5";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Pyramide échauffement doigts";"2";"40.0";"5";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"1";"40.0";"3";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"2";"40.0";"3";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"3";"40.0";"3";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"4";"40.0";"3";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"5";"40.0";"3";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"1";"42.0";"5";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"2";"42.0";"5";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"3";"42.0";"4";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"4";"42.0";"5";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Crimp";"5";"42.0";"3";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts 3 finger drag";"1";"32.0";"4";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts 3 finger drag";"2";"32.0";"4";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts 3 finger drag";"3";"32.0";"4";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts 3 finger drag";"4";"32.0";"4";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts 3 finger drag";"1";"32.0";"5";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts 3 finger drag";"2";"32.0";"5";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts 3 finger drag";"3";"32.0";"5";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts 3 finger drag";"4";"32.0";"5";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Pinch";"1";"22.0";"3";"";"";"";"";"Force Doigts"
"4";"2025-01-14 09:33:49";"Force Doigts";"5471";"Force Doigts Pinch";"2";"22.0";"3";"";"";"";"";"Force Doigts"
